0:0:0:0:0: addSignalOneAndTwo 
322:77:5100:500: phasePattern 
323:77:5100:500: phasePattern 
324:77:5100:500: phasePattern 
325:77:5100:500: phasePattern 
326:77:5100:500: phasePattern 
327:77:5100:500: phasePattern 
328:77:5100:500: phasePattern 
329:77:5100:500: phasePattern 
330:77:5100:500: phasePattern 
331:77:5100:500: phasePattern 
332:77:5100:500: phasePattern 
333:77:5100:500: phasePattern 
334:77:5100:500: phasePattern 
335:77:5100:500: phasePattern 
336:77:5100:500: phasePattern 
337:77:5100:500: phasePattern 
338:77:5100:500: phasePattern 
339:77:5100:500: phasePattern 
340:77:5100:500: phasePattern 
341:77:5100:500: phasePattern 
342:77:5100:500: phasePattern 
343:77:5100:500: phasePattern 
344:77:5100:500: phasePattern 
345:77:5100:500: phasePattern 
346:77:5100:500: phasePattern 
347:77:5100:500: phasePattern 
348:77:5100:500: phasePattern 
349:77:5100:500: phasePattern 
350:77:5100:500: phasePattern 
351:77:5100:500: phasePattern 
352:77:5100:500: phasePattern 
353:77:5100:500: phasePattern 
354:77:5100:500: phasePattern 
355:77:5100:500: phasePattern 
356:77:5100:500: phasePattern 
357:77:5166:500: phasePattern 
358:77:5233:500: phasePattern 
359:77:5233:500: phasePattern 
360:77:5233:500: phasePattern 
361:77:5233:500: phasePattern 
362:77:5233:500: phasePattern 
363:77:5233:500: phasePattern 
364:77:5233:500: phasePattern 
365:77:5233:500: phasePattern 
366:77:5233:500: phasePattern 
367:77:5233:500: phasePattern 
368:77:5233:500: phasePattern 
369:77:5233:500: phasePattern 
370:77:5233:500: phasePattern 
371:77:5233:500: phasePattern 
372:77:5233:500: phasePattern 
373:77:5233:500: phasePattern 
374:77:5233:500: phasePattern 
375:77:5233:500: phasePattern 
376:77:5233:500: phasePattern 
377:77:5233:500: phasePattern 
378:77:5233:500: phasePattern 
379:77:5233:500: phasePattern 
380:77:5233:500: phasePattern 
381:77:5233:500: phasePattern 
382:77:5233:500: phasePattern 
383:77:5233:500: phasePattern 
384:77:5233:500: phasePattern 
385:77:5233:500: phasePattern 
386:77:5233:500: phasePattern 
387:77:5233:500: phasePattern 
388:77:5233:500: phasePattern 
389:77:5233:500: phasePattern 
390:77:5233:500: phasePattern 
391:77:5233:500: phasePattern 
392:77:5233:500: phasePattern 
393:77:5233:500: phasePattern 
394:77:5233:500: phasePattern 
395:77:5233:500: phasePattern 
396:77:5233:500: phasePattern 
397:77:5233:500: phasePattern 
398:77:5233:500: phasePattern 
399:77:5233:500: phasePattern 
400:77:5233:500: phasePattern 
401:77:5233:500: phasePattern 
402:77:5233:500: phasePattern 
403:77:5233:500: phasePattern 
404:77:5233:500: phasePattern 
405:77:5233:500: phasePattern 
406:77:5233:500: phasePattern 
407:77:5233:500: phasePattern 
408:77:5233:500: phasePattern 
409:77:5233:500: phasePattern 
410:77:5233:500: phasePattern 
411:77:5233:500: phasePattern 
412:77:5233:500: phasePattern 
413:77:5233:500: phasePattern 
414:77:5233:500: phasePattern 
415:77:5233:500: phasePattern 
416:77:5233:500: phasePattern 
417:77:5233:500: phasePattern 
418:77:5233:500: phasePattern 
419:77:5233:500: phasePattern 
420:77:5233:500: phasePattern 
421:77:5233:500: phasePattern 
422:77:5233:500: phasePattern 
423:77:5233:500: phasePattern 
424:77:5233:500: phasePattern 
425:77:5233:500: phasePattern 
426:77:5233:500: phasePattern 
427:77:5233:500: phasePattern 
428:77:5233:500: phasePattern 
429:77:5233:500: phasePattern 
430:77:5233:500: phasePattern 
431:77:5233:500: phasePattern 
432:77:5233:500: phasePattern 
433:77:5233:500: phasePattern 
434:77:5233:500: phasePattern 
435:77:5233:500: phasePattern 
436:77:5233:500: phasePattern 
437:77:5233:500: phasePattern 
438:77:5233:500: phasePattern 
439:77:5233:500: phasePattern 
440:77:5233:500: phasePattern 
441:77:5233:500: phasePattern 
442:77:5233:500: phasePattern 
443:77:5233:500: phasePattern 
444:77:5233:500: phasePattern 
445:77:5233:500: phasePattern 
446:77:5233:500: phasePattern 
447:77:5233:500: phasePattern 
448:77:5233:500: phasePattern 
449:77:5233:500: phasePattern 
450:77:5233:500: phasePattern 
451:77:5233:500: phasePattern 
452:77:5233:500: phasePattern 
453:77:5233:500: phasePattern 
454:77:5233:500: phasePattern 
455:77:5233:500: phasePattern 
456:77:5233:500: phasePattern 
457:77:5233:500: phasePattern 
458:77:5233:500: phasePattern 
459:77:5233:500: phasePattern 
460:77:5233:500: phasePattern 
461:77:5233:500: phasePattern 
462:77:5233:500: phasePattern 
463:77:5233:500: phasePattern 
464:77:5233:500: phasePattern 
465:77:5233:500: phasePattern 
466:77:5233:500: phasePattern 
467:77:5233:500: phasePattern 
468:77:5233:500: phasePattern 
469:77:5233:500: phasePattern 
470:77:5233:500: phasePattern 
471:77:5233:500: phasePattern 
472:77:5233:500: phasePattern 
473:77:5233:500: phasePattern 
474:77:5233:500: phasePattern 
475:77:5233:500: phasePattern 
476:77:5233:500: phasePattern 
477:77:5233:500: phasePattern 
478:77:5233:500: phasePattern 
479:77:5233:500: phasePattern 
480:77:5233:500: phasePattern 
481:77:5233:500: phasePattern 
482:77:5233:500: phasePattern 
483:77:5233:500: phasePattern 
484:77:5233:500: phasePattern 
485:77:5233:500: phasePattern 
486:77:5233:500: phasePattern 
487:77:5233:500: phasePattern 
488:77:5233:500: phasePattern 
489:77:5233:500: phasePattern 
490:77:5266:500: phasePattern 
491:77:5266:500: phasePattern 
492:77:5266:500: phasePattern 
493:77:5266:500: phasePattern 
494:77:5266:500: phasePattern 
495:77:5266:500: phasePattern 
496:77:5266:500: phasePattern 
497:77:5266:500: phasePattern 
498:77:5266:500: phasePattern 
499:77:5266:500: phasePattern 
500:77:5266:500: phasePattern 
501:77:5266:500: phasePattern 
502:77:5266:500: phasePattern 
503:77:5266:500: phasePattern 
504:77:5266:500: phasePattern 
505:77:5266:500: phasePattern 
506:77:5266:500: phasePattern 
507:77:5266:500: phasePattern 
508:77:5266:500: phasePattern 
509:77:5266:500: phasePattern 
510:77:5266:500: phasePattern 
511:77:5266:500: phasePattern 
512:77:5266:500: phasePattern 
513:77:5266:500: phasePattern 
514:77:5266:500: phasePattern 
515:77:5266:500: phasePattern 
516:77:5266:500: phasePattern 
517:77:5266:500: phasePattern 
518:77:5266:500: phasePattern 
519:77:5233:500: phasePattern 
520:77:5233:500: phasePattern 
521:77:5233:500: phasePattern 
522:77:5266:500: phasePattern 
523:77:5266:500: phasePattern 
524:77:5266:500: phasePattern 
525:77:5266:500: phasePattern 
526:77:5266:500: phasePattern 
527:77:5266:500: phasePattern 
528:77:5266:500: phasePattern 
529:77:5266:500: phasePattern 
530:77:5266:500: phasePattern 
531:77:5266:500: phasePattern 
532:77:5266:500: 
